,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Khani,41.96,42.96,68.0,94,40,2.24,GE,1593380477
375,Yerbogachën,61.28,108.01,65.39,70,11,4.21,RU,1593380477
376,Opuwo,-18.06,13.84,57.36,36,0,7.99,NA,1593380477
377,Valdepeñas,38.76,-3.38,82.99,34,0,4.0,ES,1593380477
378,Hobyo,5.35,48.53,78.8,79,46,22.1,SO,1593380477
379,St. George's,12.06,-61.75,81.1,81,34,10.18,GD,1593380477
380,Varhaug,58.61,5.65,59.0,77,75,11.41,NO,1593380477
381,Lerici,44.08,9.91,72.0,77,0,1.21,IT,1593380477
382,Bella Union,-30.28,-57.6,49.84,87,23,9.13,UY,1593380477
383,Bushehr,28.97,50.84,87.19,45,0,4.99,IR,1593380477
384,Worland,44.02,-107.96,71.01,52,75,5.82,US,1593380477
385,Montluçon,46.33,2.6,59.0,97,100,3.87,FR,1593380478
386,Srednekolymsk,67.45,153.68,53.76,46,100,7.61,RU,1593380478
387,Meulaboh,4.14,96.13,77.11,87,95,5.61,ID,1593380478
388,Krasnyy Chikoy,50.36,108.75,58.53,88,68,1.32,RU,1593380478
389,Andapa,-14.65,49.65,64.54,90,64,2.17,MG,1593380478
390,Santa Quitéria,-4.33,-40.16,77.77,67,55,4.54,BR,1593380478
391,Sayyan,15.17,44.32,63.5,58,94,8.05,YE,1593380478
392,Prince Rupert,54.32,-130.32,59.0,82,20,8.05,CA,1593380184
393,Yanaul,56.27,54.93,44.26,91,5,5.57,RU,1593380478
394,Ixtapa,20.7,-105.2,87.8,66,90,11.41,MX,1593380478
395,Beringovskiy,63.05,179.32,40.98,73,83,14.56,RU,1593380478
396,Uthal,25.81,66.62,84.07,76,56,8.61,PK,1593380478
397,Socorro,31.65,-106.3,93.2,19,75,18.34,US,1593380479
398,Bam,29.11,58.36,90.19,20,79,3.04,IR,1593380479
399,Leh,34.17,77.58,50.47,47,28,7.25,IN,1593380479
400,Turukhansk,65.82,87.98,63.9,90,50,14.67,RU,1593380479
401,Nanortalik,60.14,-45.24,41.74,82,58,11.81,GL,1593380188
402,Fayaoué,-20.65,166.53,71.24,67,30,17.22,NC,1593380479
403,Kolvereid,64.87,11.6,66.74,57,31,18.97,NO,1593380479
404,Englehart,47.82,-79.87,78.8,54,1,6.93,CA,1593380479
405,Zalţan,32.95,11.87,77.34,68,0,10.04,LY,1593380479
406,Abu Dhabi,24.47,54.37,89.6,75,10,1.12,AE,1593380479
407,Saint-Joseph,-21.37,55.62,66.2,77,37,6.93,RE,1593380479
408,Harstad,68.8,16.53,51.8,81,0,17.22,NO,1593380480
409,Umm Kaddadah,13.6,26.69,93.0,30,89,17.11,SD,1593380480
410,Shache,38.42,77.24,59.94,34,71,4.54,CN,1593380480
411,Lakatoro,-16.1,167.42,77.0,88,90,6.93,VU,1593380480
412,Flinders,-34.58,150.86,48.99,88,73,1.01,AU,1593380480
413,Lázaro Cárdenas,17.96,-102.2,86.45,61,29,10.47,MX,1593380480
414,Jiuquan,39.74,98.52,65.59,39,0,5.06,CN,1593380480
415,Aizpute,56.72,21.6,62.6,100,59,2.24,LV,1593380480
416,Banikoara,11.3,2.44,71.44,89,82,8.1,BJ,1593380480
417,Muros,42.78,-9.06,64.99,92,24,1.99,ES,1593380480
418,Khanpur,28.65,70.66,90.9,51,0,18.84,PK,1593380480
419,Kieta,-6.22,155.63,82.4,72,23,2.75,PG,1593380480
420,Shangrao,28.45,117.97,78.03,81,100,2.37,CN,1593380481
421,Adrar,20.5,-10.07,100.51,8,0,10.78,MR,1593380481
422,Concarneau,47.88,-3.92,55.4,82,75,6.93,FR,1593380463
423,Broome,42.25,-75.83,79.0,64,20,10.29,US,1593380481
424,Danielskuil,-28.19,23.54,35.53,86,0,3.11,ZA,1593380481
425,Taoudenni,22.68,-3.98,101.91,7,0,8.48,ML,1593380202
426,Emerald,-23.53,148.17,53.6,93,57,11.65,AU,1593380448
427,San Cristobal,7.77,-72.22,84.2,51,40,13.87,VE,1593380349
428,Kiunga,-6.12,141.29,73.44,98,100,0.58,PG,1593380481
429,Bulgan,48.81,103.53,56.61,82,26,4.97,MN,1593380482
430,Rockport,28.02,-97.05,89.6,70,20,17.22,US,1593380440
431,Chaohu,31.6,117.87,75.2,100,90,15.66,CN,1593380482
432,Oranjestad,12.52,-70.03,87.8,66,20,23.04,AW,1593380303
433,Cervo,43.67,-7.41,62.01,91,83,4.94,ES,1593380482
434,Fuente de Oro,3.46,-73.61,72.03,96,100,2.3,CO,1593380482
435,Gijang,35.24,129.21,71.6,83,75,1.12,KR,1593380482
436,Vallecillo,14.52,-87.4,82.4,78,75,10.29,HN,1593380482
437,Nísia Floresta,-6.09,-35.21,77.0,88,20,8.05,BR,1593380415
438,Rabo de Peixe,37.8,-25.58,68.0,88,40,6.93,PT,1593380482
439,Kununurra,-15.77,128.73,53.6,33,9,7.09,AU,1593380482
440,Oruzgan,32.83,66.0,66.06,21,0,3.62,AF,1593380483
441,Ylivieska,64.08,24.55,63.0,67,0,3.0,FI,1593380483
442,Mt. Pleasant,32.79,-79.86,95.0,53,1,6.93,US,1593380318
443,Carballo,43.21,-8.69,62.01,3,84,2.48,ES,1593380483
444,Camacha,33.08,-16.33,69.8,88,75,14.99,PT,1593380483
445,Okahandja,-21.98,16.92,57.2,14,0,5.82,NA,1593380483
446,Rodolfo Sánchez Taboada,31.72,-116.57,73.0,75,3,3.0,MX,1593380483
447,Horki,54.29,30.98,60.75,92,0,5.84,BY,1593380483
448,Anderson,34.53,-82.65,89.6,49,1,18.34,US,1593380483
449,Jining,35.41,116.58,79.0,28,93,8.9,CN,1593380483
450,Padang,-0.95,100.35,77.74,78,70,2.77,ID,1593380483
451,Siderno,38.28,16.3,78.8,44,0,9.17,IT,1593380483
452,Ardee,53.86,-6.54,53.01,84,100,11.99,IE,1593380484
453,Port Macquarie,-31.43,152.92,46.0,94,19,8.55,AU,1593380484
454,Porto-Novo,6.5,2.6,78.8,88,40,13.87,BJ,1593380484
455,Flin Flon,54.77,-101.86,66.2,77,75,6.93,CA,1593380484
456,Bansko,41.84,23.49,61.12,62,0,1.81,BG,1593380396
457,Sangar,63.92,127.47,70.57,58,38,3.15,RU,1593380484
458,Rabak,13.18,32.74,84.0,50,27,11.3,SD,1593380484
459,Rio Grande,-32.03,-52.1,51.01,76,75,5.08,BR,1593380484
460,Basco,20.45,121.97,84.61,81,100,18.43,PH,1593380484
461,Sawākin,19.11,37.33,87.6,33,19,3.94,SD,1593380484
462,Batagay,67.63,134.63,69.03,56,9,8.48,RU,1593380485
463,Dospat,41.65,24.17,53.98,69,0,2.84,BG,1593380485
464,Skala Fourkas,40.0,23.38,73.99,64,0,0.54,GR,1593380485
465,Atambua,-9.11,124.89,69.24,91,93,4.59,ID,1593380485
466,Jagüey Grande,22.53,-81.13,87.8,70,40,12.75,CU,1593380341
467,Bermeo,43.42,-2.72,69.8,83,75,4.7,ES,1593380485
468,Şabyā,17.15,42.63,91.4,79,20,3.42,SA,1593380485
469,Kumul,42.8,93.45,78.12,23,0,20.47,CN,1593380485
470,Tual,-5.67,132.75,79.52,79,95,22.03,ID,1593380485
471,Mihăeşti,45.03,24.25,66.13,80,95,3.24,RO,1593380485
472,Samarai,-10.62,150.67,78.48,85,77,16.62,PG,1593380485
473,Pangnirtung,66.15,-65.71,48.04,62,48,3.06,CA,1593380485
474,Darnah,32.77,22.64,73.11,87,0,18.9,LY,1593380485
475,Constantine,36.37,6.61,71.6,64,0,5.82,DZ,1593380419
476,Alyangula,-13.85,136.42,66.2,100,41,3.36,AU,1593380486
477,Smiths Falls,44.9,-76.02,81.0,68,78,1.99,CA,1593380486
478,Nam Dinh,20.42,106.17,83.19,82,16,10.54,VN,1593380486
479,Bacalar,18.67,-88.38,89.6,66,40,16.11,MX,1593380486
480,Pacific Grove,36.62,-121.92,64.0,63,75,13.87,US,1593380455
481,Bud,39.45,-86.18,81.0,78,40,3.36,US,1593380486
482,La Asuncion,11.03,-63.86,80.46,81,16,13.44,VE,1593380486
483,Helena,46.59,-112.04,53.6,71,90,6.22,US,1593380448
484,Sterling,39.01,-77.43,86.0,58,90,9.17,US,1593380456
485,Poum,-20.23,164.02,71.29,70,92,12.46,NC,1593380486
486,Tutóia,-2.76,-42.27,79.66,85,27,8.43,BR,1593380190
487,Hue,16.47,107.6,80.6,83,20,3.36,VN,1593380487
488,Cap Malheureux,-19.98,57.61,71.01,79,33,3.0,MU,1593380487
489,Alekseyevsk,57.84,108.35,63.7,67,0,2.13,RU,1593380487
490,Arrondissement de Blois,47.58,1.33,62.01,100,75,6.93,FR,1593380487
491,Byurakan,40.34,44.27,68.0,42,20,11.41,AM,1593380487
492,Prieska,-29.66,22.75,41.83,77,0,3.0,ZA,1593380487
493,Shanghai,31.22,121.46,79.0,94,100,4.47,CN,1593380371
494,Vestmannaeyjar,63.44,-20.27,51.66,93,100,12.77,IS,1593380487
495,Peterhead,57.51,-1.8,55.0,87,40,12.75,GB,1593380487
496,Concordia,-31.39,-58.02,55.4,66,20,9.17,AR,1593380487
497,Barra de Tecoanapa,16.52,-98.75,87.67,59,1,12.64,MX,1593380223
498,Øksfjord,70.24,22.35,50.0,71,64,16.11,NO,1593380487
499,Iralaya,15.0,-83.23,87.8,74,40,14.05,HN,1593380487
500,Pontianak,-0.03,109.33,73.56,88,75,4.38,ID,1593380487
501,Jega,12.22,4.38,79.7,69,100,7.14,NG,1593380488
502,Jalu,29.03,21.55,77.92,48,0,9.69,LY,1593380488
503,Banda Aceh,5.56,95.32,78.91,80,82,9.66,ID,1593380203
504,Keti Bandar,24.14,67.45,86.88,76,32,20.78,PK,1593380488
505,Port Lincoln,-34.73,135.87,50.34,57,0,12.86,AU,1593380192
506,Chapais,49.78,-74.85,73.4,56,1,8.05,CA,1593380488
507,Guaporé,-28.85,-51.89,53.01,71,4,1.74,BR,1593380488
508,Natal,-5.79,-35.21,80.6,88,20,8.05,BR,1593380189
509,Kirovskiy,45.09,133.51,59.43,92,77,1.07,RU,1593380488
510,Várzea Grande,-15.65,-56.13,82.4,51,20,5.82,BR,1593380488
511,Tsumeb,-19.23,17.72,57.81,31,0,9.71,NA,1593380488
512,Itarema,-2.92,-39.92,78.89,80,8,13.65,BR,1593380488
513,Morón,-34.65,-58.62,53.01,79,67,1.99,AR,1593380488
514,Totness,5.88,-56.32,79.57,84,93,11.1,SR,1593380489
515,Calape,9.89,123.87,77.0,94,90,5.82,PH,1593380489
516,Havre-St-Pierre,50.23,-63.6,60.8,82,90,11.41,CA,1593380489
517,Arman',59.7,150.17,56.12,69,61,4.25,RU,1593380489
518,Eureka,40.8,-124.16,63.0,32,0,8.01,US,1593380232
519,Persianovskiy,47.51,40.11,75.99,36,0,6.71,RU,1593380489
520,Mount Gambier,-37.83,140.77,35.6,93,3,4.7,AU,1593380489
521,Wanaka,-44.7,169.15,36.0,88,73,1.01,NZ,1593380489
522,Camacupa,-12.02,17.48,55.94,39,0,3.49,AO,1593380489
523,Tombouctou,20.0,-3.0,100.78,13,19,12.95,ML,1593380489
524,Las Vegas,36.17,-115.14,102.2,6,1,28.86,US,1593380382
525,Lano,10.17,11.47,78.58,80,90,7.31,NG,1593380489
526,Bom Jardim,-7.8,-35.59,68.79,96,10,7.23,BR,1593380489
527,Katakwi,1.89,33.97,65.77,87,18,3.56,UG,1593380490
528,Zavyalovo,54.51,82.45,53.6,76,19,6.71,RU,1593380490
529,Khovu-Aksy,51.13,93.6,53.28,88,31,2.42,RU,1593380490
530,Malibu,34.01,-118.81,69.01,85,89,5.99,US,1593380490
531,Airai,-8.93,125.41,57.51,100,97,3.36,TL,1593380490
532,Timrå,62.49,17.33,63.0,59,50,6.93,SE,1593380490
533,Stornoway,58.21,-6.39,54.0,100,84,5.82,GB,1593380490
